Date,Rats,LinkNYC,RestaurantInspections,Business,Rent
2016-01,0.35664605873261207,0.00115919629057187,0.026661514683153014,0.0032843894899536323,0.6122488408037094
2016-02,0.09961634246483139,0.0008077000740391734,0.04630813757824594,0.00242310022211752,0.8508447196607659
2016-03,0.08599974705956748,0.0002529404325281396,0.07891741494877956,0.0025294043252813963,0.8323004932338435
2016-04,0.07860523635492181,0.00023965011083817625,0.11143730153975197,0.0040740518842489965,0.8056437601102391
2016-05,0.20548413900972676,0.0,0.13959626570213599,0.004496798474998778,0.6504227968131385
2016-06,0.11056757234631932,0.0,0.09029292155360405,0.006601049095302646,0.792538457004774
2016-07,0.11668555747777844,0.00047724154387639444,0.058223468352920124,0.002147586947443775,0.8224661456779813
2016-08,0.13254437869822486,0.000676246830092984,0.09715412792335869,0.0020287404902789518,0.7675965060580445
2016-09,0.09422906185261912,0.002841077241787511,0.10014797277300977,0.0023675643681562593,0.8004143237644273
2016-10,0.07542070998648814,0.001965360520820538,0.10440977766859108,0.001965360520820538,0.8162387913032797
2016-11,0.12106739896125604,0.0021491254253477405,0.08978568443675004,0.0026267088532027937,0.7843710823234433
2016-12,0.3879677677931064,0.001012530059486141,0.06986457410454373,0.002025060118972282,0.5391300679238915
2017-01,0.2628164888051894,0.0004184975936388366,0.06695961498221385,0.0010462439840970914,0.6687591546348608
2017-02,0.1372943543614629,0.00023671440407148776,0.09042490235530833,0.0021304296366433896,0.7699135992425139
2017-03,0.07555497857977411,0.0,0.08308451252758665,0.0020771128131896665,0.8392833960794496
2017-04,0.0867331700615256,0.0002389343527865719,0.11277701451526193,0.003584015291798578,0.7966668657786273
2017-05,0.10694676533778945,0.0016710432084029601,0.07448078300310336,0.0019097636667462401,0.814991644783958
2017-06,0.07107028464374207,0.0012086783102677222,0.11216534719284463,0.0024173566205354445,0.8131383332326101
2017-07,0.06709519436792163,0.0004897459442913989,0.10235690235690235,0.0019589837771655954,0.828099173553719
2017-08,0.105943878985548,0.0006748017769780127,0.14553224990159142,0.002024405330934038,0.7458246640049485
2017-09,0.2765515193506879,0.0,0.07205780461249134,0.0013857270117786796,0.650004949025042
2017-10,0.2016043909647456,0.0008444162972345366,0.09499683343888538,0.002322144817394976,0.7002322144817394
2017-11,0.21130247011112865,0.0002106704587349239,0.09016695633854743,0.00863748880813188,0.6896824142834571
2017-12,0.16625401675183057,0.0,0.11420744876995206,0.01411789495864721,0.7054206395195701
