Date,Rats,LinkNYC,RestaurantInspections,Business,Rent
2016-01,0.03834647810715257,0.0,0.021212945335871633,0.0021756867011150393,0.9382648898558608
2016-02,0.046718876586551446,0.0,0.018633540372670808,0.002970564407237375,0.9316770186335404
2016-03,0.40947351048027725,0.0,0.019970292127413764,0.0011553061561313748,0.5694008912361775
2016-04,0.37467877334247046,0.0006852835360630461,0.027582662326537603,0.0017132088401576153,0.5953400719547712
2016-05,0.05934939160665508,0.0027315619567916563,0.06729575366277626,0.0027315619567916563,0.8678917308169853
2016-06,0.07057018665302991,0.002045512656609563,0.044745589363334184,0.0005113781641523907,0.882127333162874
2016-07,0.07851031706089583,0.006039255158530448,0.03447408152994464,0.001509813789632612,0.8794665324609965
2016-08,0.07824331145885917,0.000757193336698637,0.0585562847046946,0.002523977788995457,0.8599192327107521
2016-09,0.0718132854578097,0.001538856116953065,0.032828930494998715,0.0012823800974608873,0.8925365478327776
2016-10,0.13405456255879586,0.0030573847601128882,0.05009407337723424,0.0014111006585136407,0.8113828786453434
2016-11,0.04639870515241435,0.002158079309414621,0.03291070946857297,0.001348799568384138,0.917183706501214
2016-12,0.05445808862786973,0.0010678056593699946,0.04137746930058729,0.002135611318739989,0.900961025093433
2017-01,0.07731958762886598,0.00027129679869777537,0.024959305480195332,0.002170374389582203,0.8952794357026587
2017-02,0.37310774710596617,0.0008904719501335708,0.03508459483526269,0.0014247551202137133,0.5894924309884239
2017-03,0.36897915168943207,0.00017972681524083394,0.036484543493889285,0.0014378145219266715,0.5929187634795111
2017-04,0.19816858417468888,0.0,0.024418877670814746,0.002582765907490021,0.7748297722470063
2017-05,0.11119535001263584,0.0005054334091483447,0.037402072276977505,0.00429618397776093,0.8466009603234774
2017-06,0.11615289765721332,0.0009864364981504315,0.04956843403205918,0.002466091245376079,0.8308261405672009
2017-07,0.08876629889669008,0.0012537612838515546,0.060932798395185554,0.0020060180541624875,0.8470411233701103
2017-08,0.10384615384615385,0.0026442307692307694,0.07572115384615384,0.0016826923076923078,0.8161057692307693
2017-09,0.05935586904445036,0.00026616981634282674,0.03433590630822465,0.0023955283470854403,0.9036465264838968
2017-10,0.20228420821436416,0.003074895673182517,0.04634307050296508,0.002635624862727872,0.7456622007467604
2017-11,0.3946288060212111,0.0008552856654122477,0.030619226821758466,0.005473828258638385,0.5684228532329798
2017-12,0.25935110560033064,0.0,0.03575118826203761,0.012605910312047944,0.6922917958255838
