Date,Rats,LinkNYC,RestaurantInspections,Business,Rent
2016-01,0.3904208998548621,0.0,0.010159651669085631,0.006773101112723754,0.5926463473633284
2016-02,0.27827021219446685,0.0,0.037066881547139406,0.0042976094547408005,0.680365296803653
2016-03,0.19919606967396158,0.00416852761649546,0.036921244603245494,0.0038707756438886407,0.7558433824624088
2016-04,0.3261916225324988,0.00048146364949446316,0.04020221473278768,0.003370245546461242,0.6297544535387578
2016-05,0.11257668711656442,0.0,0.06809815950920245,0.006134969325153374,0.8131901840490797
2016-06,0.10299653666616473,0.0018069567836169252,0.06264116849872008,0.0045173919590423125,0.828037946092456
2016-07,0.11089696071163825,0.0005930318754633062,0.05989621942179392,0.005040770941438102,0.8235730170496665
2016-08,0.2920672368033029,0.00023591860808021232,0.06841639634326158,0.0025951046888823357,0.636685343556473
2016-09,0.5823733518390007,0.0006939625260235947,0.034004163775156145,0.0018043025676613463,0.38112421929215823
2016-10,0.40455472129680276,0.002585649644473174,0.03938143304659142,0.0007955845059917458,0.552682611506141
2016-11,0.1132104105015555,0.0015175658244176342,0.04006373776462554,0.0027316184839517414,0.8424766674254496
2016-12,0.08383911952739338,0.0038844379703811605,0.03981548919640689,0.0035607348061827302,0.8689002184996358
2017-01,0.08906688025630757,0.003844613536243492,0.05158189827793352,0.001922306768121746,0.8535843011613937
2017-02,0.1295053830550788,0.0012482446559525667,0.044000624122327976,0.0028085504758932752,0.8224371976907474
2017-03,0.3885887183920467,0.0006483682731791658,0.04019883293710828,0.003241841365895829,0.56732223903177
2017-04,0.3284170299158058,0.0,0.043231623574371526,0.004776974980593539,0.6235743715292291
2017-05,0.4980324534642083,0.00017685811557677854,0.029535305301322014,0.0031834460803820135,0.46907193703851086
2017-06,0.6034885317950831,0.0006867188572998214,0.025408597720093393,0.002334844114819393,0.3680813075127043
2017-07,0.16449971735443752,0.0005652911249293386,0.06133408705483324,0.001978518937252685,0.7716223855285472
2017-08,0.13809313941530776,0.0005876303804906713,0.06317026590274717,0.0041134126634347,0.7940355516380196
2017-09,0.12409384987138514,0.003117935926416712,0.06641203523267597,0.001558967963208356,0.8048172110063139
2017-10,0.14893134959595197,0.00030209198701004454,0.07310626085643078,0.003927195831130579,0.7737331017294766
2017-11,0.10033986081890274,0.0006473539407671144,0.05631979284673896,0.012299724874575174,0.830393267519016
2017-12,0.3185128174767628,0.0,0.0513883133029424,0.00970931265170801,0.6203895565685869
